instant,data,season,ano,mes,hora,feriado,dia_semana,dia_util,clima,temperatura_normalizada,sensacao_termica_normalizada,umidade_normalizada,vento_normalizado,usuarios_casuais,usuarios_registrados,total_locacoes,periodo_dia,nivel_demanda,descricao_clima,descricao_estacao
1,2011-01-01,1,0,1,0,False,6,False,1,0.24,0.2879,0.81,0.0,3,13,16,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
2,2011-01-01,1,0,1,1,False,6,False,1,0.22,0.2727,0.8,0.0,8,32,40,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
3,2011-01-01,1,0,1,2,False,6,False,1,0.22,0.2727,0.8,0.0,5,27,32,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
4,2011-01-01,1,0,1,3,False,6,False,1,0.24,0.2879,0.75,0.0,3,10,13,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
5,2011-01-01,1,0,1,4,False,6,False,1,0.24,0.2879,0.75,0.0,0,1,1,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
6,2011-01-01,1,0,1,5,False,6,False,2,0.24,0.2576,0.75,0.0896,0,1,1,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
7,2011-01-01,1,0,1,6,False,6,False,1,0.22,0.2727,0.8,0.0,2,0,2,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
8,2011-01-01,1,0,1,7,False,6,False,1,0.2,0.2576,0.86,0.0,1,2,3,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
9,2011-01-01,1,0,1,8,False,6,False,1,0.24,0.2879,0.75,0.0,1,7,8,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
10,2011-01-01,1,0,1,9,False,6,False,1,0.32,0.3485,0.76,0.0,8,6,14,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
11,2011-01-01,1,0,1,10,False,6,False,1,0.38,0.3939,0.76,0.2537,12,24,36,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
12,2011-01-01,1,0,1,11,False,6,False,1,0.36,0.3333,0.81,0.2836,26,30,56,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,PRIMAVERA
13,2011-01-01,1,0,1,12,False,6,False,1,0.42,0.4242,0.77,0.2836,29,55,84,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,PRIMAVERA
14,2011-01-01,1,0,1,13,False,6,False,2,0.46,0.4545,0.72,0.2985,47,47,94,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
15,2011-01-01,1,0,1,14,False,6,False,2,0.46,0.4545,0.72,0.2836,35,71,106,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
16,2011-01-01,1,0,1,15,False,6,False,2,0.44,0.4394,0.77,0.2985,40,70,110,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
17,2011-01-01,1,0,1,16,False,6,False,2,0.42,0.4242,0.82,0.2985,41,52,93,TARDE,MEDIA,NEVOA_NUBLADO,PRIMAVERA
18,2011-01-01,1,0,1,17,False,6,False,2,0.44,0.4394,0.82,0.2836,15,52,67,TARDE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
19,2011-01-01,1,0,1,18,False,6,False,3,0.42,0.4242,0.88,0.2537,9,26,35,NOITE,BAIXA,CHUVA_NEVE_LEVE,PRIMAVERA
20,2011-01-01,1,0,1,19,False,6,False,3,0.42,0.4242,0.88,0.2537,6,31,37,NOITE,BAIXA,CHUVA_NEVE_LEVE,PRIMAVERA
21,2011-01-01,1,0,1,20,False,6,False,2,0.4,0.4091,0.87,0.2537,11,25,36,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
22,2011-01-01,1,0,1,21,False,6,False,2,0.4,0.4091,0.87,0.194,3,31,34,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
23,2011-01-01,1,0,1,22,False,6,False,2,0.4,0.4091,0.94,0.2239,11,17,28,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
24,2011-01-01,1,0,1,23,False,6,False,2,0.46,0.4545,0.88,0.2985,15,24,39,NOITE,BAIXA,NEVOA_NUBLADO,PRIMAVERA
25,2011-01-02,1,0,1,0,False,0,False,2,0.46,0.4545,0.88,0.2985,4,13,17,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
26,2011-01-02,1,0,1,1,False,0,False,2,0.44,0.4394,0.94,0.2537,1,16,17,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
27,2011-01-02,1,0,1,2,False,0,False,2,0.42,0.4242,1.0,0.2836,1,8,9,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
28,2011-01-02,1,0,1,3,False,0,False,2,0.46,0.4545,0.94,0.194,2,4,6,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
29,2011-01-02,1,0,1,4,False,0,False,2,0.46,0.4545,0.94,0.194,2,1,3,MADRUGADA,BAIXA,NEVOA_NUBLADO,PRIMAVERA
